Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,class_weight,epochs,initial_epoch,max_queue_size,opt_amsgrad,opt_beta_1,opt_beta_2,opt_decay,opt_epsilon,opt_learning_rate,opt_name,sample_weight,shuffle,steps_per_epoch,use_multiprocessing,validation_batch_size,validation_freq,validation_split,validation_steps,workers,accuracy,loss,val_accuracy,val_loss
2023-05-23 00:26:00,0.9s,3d3ecd8b757d4861a94bb34c13928612,,LOCAL,train_model_densenet.py,marvin,FAILED,32,None,2,0,10,,,,,,,,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-23 00:17:46,3.0min,9aad6bdcb55f4c0aa4093c071c31c006,,LOCAL,train_model_ResNet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.43403205275535583,1.5439555644989014,0.4485049843788147,1.522720456123352
2023-05-23 00:16:21,1.3min,46a0fdeed1ac40cd8dae1db7d4c66190,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.35850802063941956,1.740911841392517,0.3455149531364441,1.5886725187301636
2023-05-23 00:05:33,2.0s,b84fdd1e38794e89a1d429486077a4e4,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 23:52:37,32.6s,5df1cdee707143ccabd8ebffdc7d338e,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 23:48:19,2.5min,a3be450a2cf54d0183333af1a1b80524,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3387792706489563,1.3681294918060303,0.2657807171344757,1.3985264301300049
2023-05-22 23:47:01,4.7s,c09a394e96b14676859067401c2ada38,,LOCAL,train_model_self.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 23:46:35,17.8s,2f62448ce3d947c59a0f0f1abc8a3c1a,,LOCAL,train_model_self.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 23:38:53,2.6min,737cbeedc032412d903d02f160077ce9,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.33600494265556335,1.3742703199386597,0.2657807171344757,1.3970192670822144
2023-05-22 23:38:10,2.9s,27882c7f3d7b41dc823f1e5e50892a53,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 23:31:01,2.6min,0ae938f5eadb4716b2301db554c5de0d,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3403205871582031,1.370155692100525,0.2657807171344757,1.3874595165252686
2023-05-22 20:51:50,2.6min,423bb623ba194dc8850fa2b8add049cd,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3390875458717346,1.3690065145492554,0.2657807171344757,1.3878597021102905
2023-05-22 20:46:50,12.4s,4febe56aaf794765844089ccde98a732,,LOCAL,train_model_self.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 19:34:51,2.6min,2749863dd27d490c8f44b66aafba3201,,LOCAL,train_model_vgg.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3282983899116516,1.4600902795791626,0.2823920249938965,1.4833052158355713
